initial state: #..#.#..##......###...###

##### => .
####. => .
###.# => .
###.. => .
##.## => .
##.#. => .
##..# => .
##... => .
#.### => .
#.##. => .
#.#.# => .
#.#.. => .
#..## => .
#..#. => .
#...# => .
#.... => .
.#### => .
.###. => .
.##.# => .
.##.. => .
.#.## => .
.#.#. => .
.#..# => .
.#... => .
..### => .
..##. => .
..#.# => .
..#.. => .
...## => .
...#. => .
....# => .
..... => .

####. => #
###.# => #
###.. => #
##.## => #
##.#. => #
#.### => #
#.#.# => #
.#### => #
.##.. => #
.#.## => #
.#.#. => #
.#... => #
..#.. => #
...## => #
